2023-12-10 23:40:15 | INFO | Запуск сервера на адресе ws://localhost:8000
2023-12-10 23:40:33 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 149'}
2023-12-10 23:40:33 | INFO | Отправляем код ответа в бд, код-0x02 149
2023-12-10 23:40:33 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 148', 'state': 'on', 'created_at': '2023-12-10T02:18:09.292594', 'updated_at': '2023-12-10T23:34:07.921167'}
2023-12-10 23:40:43 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 253'}
2023-12-10 23:40:43 | INFO | Отправляем код ответа в бд, код-0x02 253
2023-12-10 23:40:43 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 149', 'state': 'on', 'created_at': '2023-12-10T02:18:09.292594', 'updated_at': '2023-12-10T23:40:33.556306'}
2023-12-10 23:40:47 | INFO | Получена задача от тригера 0x03
2023-12-10 23:40:49 | INFO | Получена задача от тригера 0x02
2023-12-10 23:40:51 | INFO | Получена задача от тригера 0x01
2023-12-10 23:40:54 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 112'}
2023-12-10 23:40:54 | INFO | Отправляем код ответа в бд, код-0x02 112
2023-12-10 23:40:54 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 193'}
2023-12-10 23:40:54 | INFO | Отправляем код ответа в бд, код-0x02 193
2023-12-10 23:41:54 | INFO | Запуск сервера на адресе ws://localhost:8000
2023-12-10 23:42:06 | INFO | Запуск сервера на адресе ws://localhost:8000
2023-12-10 23:42:19 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 182'}
2023-12-10 23:42:19 | INFO | Отправляем код ответа в бд, код-0x02 182
2023-12-10 23:42:29 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 108'}
2023-12-10 23:42:29 | INFO | Отправляем код ответа в бд, код-0x02 108
2023-12-10 23:42:29 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 182', 'state': 'unknown', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-10T23:42:19.080289'}
2023-12-10 23:42:39 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 145'}
2023-12-10 23:42:39 | INFO | Отправляем код ответа в бд, код-0x02 145
2023-12-10 23:42:39 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 108', 'state': 'unknown', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-10T23:42:29.080942'}
2023-12-10 23:49:28 | INFO | Запуск сервера на адресе ws://localhost:8000
2023-12-10 23:49:35 | INFO | Запуск сервера на адресе ws://localhost:8000
2023-12-10 23:49:48 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 206'}
2023-12-10 23:49:48 | INFO | Отправляем код ответа в бд, код-0x02 206
2023-12-10 23:49:48 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 145', 'state': 'unknown', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-10T23:42:39.081637'}
2023-12-11 00:25:56 | INFO | Запуск сервера на адресе ws://localhost:8000
2023-12-11 00:26:04 | INFO | Запуск сервера на адресе ws://localhost:8000
2023-12-11 00:26:17 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 151'}
2023-12-11 00:26:17 | INFO | Отправляем код ответа в бд, код-0x02 151
2023-12-11 00:26:17 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 206', 'state': 'unknown', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-10T23:49:48.447391'}
2023-12-11 00:26:27 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 49'}
2023-12-11 00:26:27 | INFO | Отправляем код ответа в бд, код-0x02 49
2023-12-11 00:26:27 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 151', 'state': 'unknown', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:26:17.637581'}
2023-12-11 00:26:37 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 167'}
2023-12-11 00:26:37 | INFO | Отправляем код ответа в бд, код-0x02 167
2023-12-11 00:26:37 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 49', 'state': 'unknown', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:26:27.639457'}
2023-12-11 00:26:38 | INFO | Получена задача от тригера 0x01
2023-12-11 00:26:47 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 218'}
2023-12-11 00:26:47 | INFO | Отправляем код ответа в бд, код-0x02 218
2023-12-11 00:26:49 | INFO | Получена задача от тригера 0x02
2023-12-11 00:26:57 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 62'}
2023-12-11 00:26:57 | INFO | Отправляем код ответа в бд, код-0x02 62
2023-12-11 00:27:00 | INFO | Получена задача от тригера 0x03
2023-12-11 00:27:07 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 157'}
2023-12-11 00:27:07 | INFO | Отправляем код ответа в бд, код-0x02 157
2023-12-11 00:27:07 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 23'}
2023-12-11 00:27:07 | INFO | Отправляем код ответа в бд, код-0x02 23
2023-12-11 00:27:07 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 157', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:27:07.129833'}
2023-12-11 00:27:17 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 149'}
2023-12-11 00:27:17 | INFO | Отправляем код ответа в бд, код-0x02 149
2023-12-11 00:27:17 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 23', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:27:07.648212'}
2023-12-11 00:27:27 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 41'}
2023-12-11 00:27:27 | INFO | Отправляем код ответа в бд, код-0x02 41
2023-12-11 00:27:27 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 149', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:27:17.651064'}
2023-12-11 00:27:37 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 5'}
2023-12-11 00:27:37 | INFO | Отправляем код ответа в бд, код-0x02 5
2023-12-11 00:27:37 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 41', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:27:27.653115'}
2023-12-11 00:27:47 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 102'}
2023-12-11 00:27:47 | INFO | Отправляем код ответа в бд, код-0x02 102
2023-12-11 00:27:47 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 5', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:27:37.655683'}
2023-12-11 00:27:57 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 116'}
2023-12-11 00:27:57 | INFO | Отправляем код ответа в бд, код-0x02 116
2023-12-11 00:27:57 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 102', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:27:47.657633'}
2023-12-11 00:28:07 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 61'}
2023-12-11 00:28:07 | INFO | Отправляем код ответа в бд, код-0x02 61
2023-12-11 00:28:07 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 116', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:27:57.659148'}
2023-12-11 00:28:17 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 55'}
2023-12-11 00:28:17 | INFO | Отправляем код ответа в бд, код-0x02 55
2023-12-11 00:28:17 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 61', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:28:07.660851'}
2023-12-11 00:28:27 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 217'}
2023-12-11 00:28:27 | INFO | Отправляем код ответа в бд, код-0x02 217
2023-12-11 00:28:27 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 55', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:28:17.662332'}
2023-12-11 00:28:37 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 135'}
2023-12-11 00:28:37 | INFO | Отправляем код ответа в бд, код-0x02 135
2023-12-11 00:28:37 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 217', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:28:27.663980'}
2023-12-11 00:28:47 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 149'}
2023-12-11 00:28:47 | INFO | Отправляем код ответа в бд, код-0x02 149
2023-12-11 00:28:47 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 135', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:28:37.665874'}
2023-12-11 00:28:57 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 191'}
2023-12-11 00:28:57 | INFO | Отправляем код ответа в бд, код-0x02 191
2023-12-11 00:28:57 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 149', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:28:47.667468'}
2023-12-11 00:29:07 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 82'}
2023-12-11 00:29:07 | INFO | Отправляем код ответа в бд, код-0x02 82
2023-12-11 00:29:07 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 191', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:28:57.669025'}
2023-12-11 00:29:17 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 7'}
2023-12-11 00:29:17 | INFO | Отправляем код ответа в бд, код-0x02 7
2023-12-11 00:29:17 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 82', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:29:07.670736'}
2023-12-11 00:29:27 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 27'}
2023-12-11 00:29:27 | INFO | Отправляем код ответа в бд, код-0x02 27
2023-12-11 00:29:27 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 7', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:29:17.672168'}
2023-12-11 00:29:37 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 22'}
2023-12-11 00:29:37 | INFO | Отправляем код ответа в бд, код-0x02 22
2023-12-11 00:29:37 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 27', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:29:27.674206'}
2023-12-11 00:29:47 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 235'}
2023-12-11 00:29:47 | INFO | Отправляем код ответа в бд, код-0x02 235
2023-12-11 00:29:47 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 22', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:29:37.675756'}
2023-12-11 00:29:57 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 85'}
2023-12-11 00:29:57 | INFO | Отправляем код ответа в бд, код-0x02 85
2023-12-11 00:29:57 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 235', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:29:47.677276'}
2023-12-11 00:30:07 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 85'}
2023-12-11 00:30:07 | INFO | Отправляем код ответа в бд, код-0x02 85
2023-12-11 00:30:07 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 85', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:29:57.678862'}
2023-12-11 00:30:17 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 150'}
2023-12-11 00:30:17 | INFO | Отправляем код ответа в бд, код-0x02 150
2023-12-11 00:30:17 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 85', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:29:57.678862'}
2023-12-11 00:30:27 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 110'}
2023-12-11 00:30:27 | INFO | Отправляем код ответа в бд, код-0x02 110
2023-12-11 00:30:27 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 150', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:30:17.681977'}
2023-12-11 00:30:37 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 151'}
2023-12-11 00:30:37 | INFO | Отправляем код ответа в бд, код-0x02 151
2023-12-11 00:30:37 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 110', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:30:27.683540'}
2023-12-11 00:30:47 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 64'}
2023-12-11 00:30:47 | INFO | Отправляем код ответа в бд, код-0x02 64
2023-12-11 00:30:47 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 151', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:30:37.685154'}
2023-12-11 00:30:57 | INFO | Получено состояние эмулятора по таймауту {'sender_name': 'layer', 'task_name': 'device_status_timeout10', 'device_name': 'divice_1', 'response_code': '0x02 210'}
2023-12-11 00:30:57 | INFO | Отправляем код ответа в бд, код-0x02 210
2023-12-11 00:30:57 | INFO | Отправляю данные на WEB {'id': 1, 'task_name': 'for_web', 'status': '0x02 64', 'state': 'off', 'created_at': '2023-12-10T23:42:19.080277', 'updated_at': '2023-12-11T00:30:47.686627'}
